Record_ID,Date,Year,Month,Season,Country,City,Latitude,Longitude,Population_Density_per_km2,Green_Cover_Pct,AQI,AQI_Category,Pollution_Alert_Level,PM2_5_ugm3,PM10_ugm3,NO2_ugm3,SO2_ugm3,CO_mgm3,O3_ugm3,VOC_ugm3,NH3_ugm3,Lead_Pb_ugm3,Benzene_ugm3,Formaldehyde_ugm3,Black_Carbon_ugm3,Temperature_C,Humidity_Pct,Wind_Speed_kmh,Wind_Direction,Atmospheric_Pressure_hPa,Visibility_km,Weather_Condition,Primary_Pollution_Source,Industry_Nearby,Traffic_Density,Health_Effects,Associated_Diseases,Respiratory_Risk_Index,Cardiovascular_Risk_Index,Cancer_Risk_Index,Daily_Mortality_Risk,Exceeds_WHO_PM25_Standard,WHO_PM25_Guideline_ugm3
GAP-00001,2015-04-13,2015,4,Spring,Australia,Sydney,-18.5964,38.2595,27530,32.0,116,Unhealthy for Sensitive Groups,Watch,79.48,177.4,94.14,9.54,1.46,19.87,151.1,48.49,1.0624,0.51,48.51,25.06,-2.3,26.0,6.8,S,984.3,8.55,Cloudy,Residential Heating (Wood/Coal),Yes,Medium,"Children, elderly, and people with lung/heart disease may experience health effects","Asthma, Bronchitis, Allergic Rhinitis",23.2,19.3,3.12,Moderate,Yes,15
GAP-00002,2021-08-15,2021,8,Summer,Canada,Toronto,-50.7014,120.0631,17209,37.0,38,Good,None,16.23,34.38,20.16,18.68,1.35,156.19,39.08,36.59,0.0209,18.85,28.38,11.87,-14.0,30.3,8.8,W,1014.7,9.53,Rainy,Industrial Factories,Yes,Low,No significant health effects,None,7.6,6.3,1.552,Low,Yes,15
GAP-00003,2021-04-17,2021,4,Spring,Brazil,Sao Paulo,18.3439,135.4452,9318,17.0,205,Very Unhealthy,Emergency,122.75,222.39,145.43,56.5,3.01,174.83,239.51,75.22,1.3423,11.998,46.13,3.11,-3.2,14.0,11.7,SE,991.1,7.44,Sunny,Sandstorm/Dust Storm,No,Medium,Health alert: serious health effects for everyone; emergency conditions for sensitive groups,"Lung Cancer Risk, Heart Attack, Arrhythmia, Premature Death Risk",41.0,34.2,4.207,High,Yes,15
GAP-00004,2024-01-29,2024,1,Winter,Turkey,Izmir,-8.6477,53.9313,23649,27.5,239,Very Unhealthy,Emergency,115.39,207.27,59.32,3.04,7.73,77.13,109.44,2.11,0.2991,14.256,39.61,18.38,40.6,67.3,32.1,N,1028.0,7.01,Windy,Wildfire/Forest Fire,No,High,Health alert: serious health effects for everyone; emergency conditions for sensitive groups,"Lung Cancer Risk, Heart Attack, Arrhythmia, Premature Death Risk",47.8,39.8,2.103,High,Yes,15
GAP-00005,2023-07-25,2023,7,Summer,Bangladesh,Chittagong,58.4458,-61.4446,22453,34.2,359,Hazardous,Hazardous Emergency,207.28,367.86,273.9,69.84,26.17,154.32,391.15,19.64,0.3848,0.905,35.68,3.77,11.4,27.8,31.4,SW,998.0,5.51,Cloudy,Power Plants (Gas),Yes,Very High,Health emergency: everyone is affected; life-threatening for sensitive groups,"Severe COPD, Heart Failure, Lung Cancer, Neurological Damage, Premature Death",71.8,59.8,1.528,Very High,Yes,15
GAP-00006,2021-10-08,2021,10,Autumn,Russia,Novosibirsk,-1.6115,94.9541,1356,17.1,177,Unhealthy,Warning,81.58,199.29,143.7,61.76,11.71,116.14,81.61,9.33,0.6853,4.447,21.12,26.56,4.5,20.7,12.8,S,1032.5,7.79,Hazy,Industrial Factories,No,Low,Everyone may experience health effects; sensitive groups may experience serious effects,"COPD, Ischemic Heart Disease, Stroke Risk, Lung Irritation",35.4,29.5,2.015,Moderate,Yes,15
GAP-00007,2024-04-20,2024,4,Spring,USA,Phoenix,21.1955,8.2367,49900,59.9,3,Good,None,1.35,2.75,1.99,1.04,0.06,51.5,0.82,18.28,0.8376,8.136,3.71,7.99,-0.2,71.3,25.1,SW,971.8,9.96,Clear,Biomass Burning,Yes,Low,No significant health effects,None,0.6,0.5,2.156,Low,No,15
GAP-00008,2023-09-02,2023,9,Autumn,Canada,Vancouver,8.5248,61.3485,42157,50.3,70,Moderate,Advisory,33.85,81.52,24.13,5.37,2.61,177.56,26.74,54.1,1.1427,4.829,36.55,11.35,22.9,65.8,19.0,S,967.2,9.12,Hazy,Power Plants (Coal),Yes,Low,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,14.0,11.7,3.258,Low,Yes,15
GAP-00009,2022-02-16,2022,2,Winter,Germany,Cologne,14.4001,15.6539,25249,11.3,16,Good,None,7.96,13.69,15.33,6.49,0.43,26.35,22.6,32.41,0.7771,16.77,33.95,22.19,-2.5,57.6,24.5,SW,978.3,9.8,Rainy,Wildfire/Forest Fire,No,High,No significant health effects,None,3.2,2.7,3.072,Low,No,15
GAP-00010,2022-11-14,2022,11,Autumn,Canada,Montreal,66.708,-51.9217,16532,7.0,1,Good,None,0.43,1.03,1.2,0.32,0.03,69.37,1.1,71.87,1.3307,15.62,32.28,2.98,-5.3,89.1,21.4,NE,960.7,9.99,Foggy,Pesticide Spraying,Yes,Medium,No significant health effects,None,0.2,0.2,4.088,Low,No,15
GAP-00011,2018-01-10,2018,1,Winter,South Africa,Pretoria,56.5058,43.5631,8804,58.8,151,Unhealthy,Warning,82.4,160.55,200.25,13.9,0.35,93.96,43.6,29.95,1.1165,14.447,15.75,16.5,15.5,66.0,9.1,SE,1007.2,8.11,Clear,Chemical Plants,Yes,Medium,Everyone may experience health effects; sensitive groups may experience serious effects,"COPD, Ischemic Heart Disease, Stroke Risk, Lung Irritation",30.2,25.2,3.27,Moderate,Yes,15
